iter	RMSE
0	0.3175595301
1	0.3173477646
2	0.3172428051
3	0.3172323147
4	0.3170852902
5	0.3170285271
6	0.3169354014
7	0.3169044363
8	0.3168628431
9	0.3168605509
10	0.3166893226
11	0.3166419548
12	0.3165295465
13	0.3164523077
14	0.3163781253
15	0.3163544506
16	0.3162768638
17	0.3161165342
18	0.3159943078
19	0.3159493942
20	0.3158899073
21	0.3158241293
22	0.3156212227
23	0.315549844
24	0.3154656934
25	0.3154420042
26	0.3153968195
27	0.3153032416
28	0.3152651678
29	0.3152387884
30	0.3152193248
31	0.3151970444
32	0.3151693318
33	0.3151434637
34	0.3150021926
35	0.3149387442
36	0.3148791909
37	0.3147281151
38	0.3146178453
39	0.3145718062
40	0.3145140446
41	0.3144569271
42	0.3143673489
43	0.314355035
44	0.3143138697
45	0.3142276031
46	0.3141498835
47	0.3140909177
48	0.3140899834
49	0.3140607643
50	0.3140457735
51	0.3140340672
52	0.3140003012
53	0.3139904567
54	0.3139689618
55	0.3138277768
56	0.3137994759
57	0.3137251192
58	0.313699814
59	0.3136886407
60	0.3136753692
61	0.3136525061
62	0.3135668259
63	0.3134403171
64	0.3133933114
65	0.3133400771
66	0.3132587088
67	0.3132342911
68	0.3132030611
69	0.3130924803
70	0.3129821392
71	0.312901144
72	0.3128460057
73	0.3127545722
74	0.312738426
75	0.3125790842
76	0.3124987539
77	0.312419844
78	0.3122622089
79	0.3122341496
80	0.3122083044
81	0.3121761779
82	0.3119556685
83	0.3116568
84	0.3116184006
85	0.311578819
86	0.3114984024
87	0.3114503791
88	0.3113593911
89	0.3113167717
90	0.3112552664
91	0.3112188527
92	0.3111704551
93	0.3111254952
94	0.3110941965
95	0.3110760896
96	0.3110598691
97	0.3110430054
98	0.3110302326
99	0.3109751696
100	0.3109528944
101	0.3108691989
102	0.3108536005
103	0.3108259816
104	0.3108032425
105	0.3107876803
106	0.3107757893
107	0.3107599415
108	0.3107135935
109	0.3103083579
110	0.3102847477
111	0.3102568279
112	0.3102340103
113	0.3100622413
114	0.3100314188
115	0.3100134837
116	0.3099335368
117	0.309907838
118	0.3098680664
119	0.3098320741
120	0.3097590939
121	0.309724641
122	0.3095650158
123	0.3095491149
124	0.3095270928
125	0.3091621625
126	0.3090936368
127	0.3089715641
128	0.3089350381
129	0.3089039523
130	0.308887358
131	0.3086696646
132	0.3085510387
133	0.3085327792
134	0.3084695507
135	0.3083270463
136	0.3079854904
137	0.3079664216
138	0.307895854
139	0.3078896793
140	0.3078572765
141	0.3076763847
142	0.3075454626
143	0.3073222212
144	0.3072636163
145	0.3071783426
146	0.3071721418
147	0.3071498447
148	0.3070249912
149	0.306970967
150	0.3069201666
151	0.3067928014
152	0.3067429375
153	0.3064855306
154	0.3062951736
155	0.3062149042
156	0.3059493252
157	0.3059206395
158	0.3057368124
159	0.3056709283
160	0.305613794
161	0.3056043382
162	0.3053696831
163	0.3052609828
164	0.3052169884
165	0.3051992937
166	0.3051734759
167	0.3049771113
168	0.3047638054
169	0.3045632746
170	0.3045150872
171	0.3044884968
172	0.3044567971
173	0.3044467394
174	0.3043489845
175	0.3043301897
176	0.3042871065
177	0.3042727085
178	0.3042664322
179	0.3042450158
180	0.3042266986
181	0.3042136266
182	0.3039853209
183	0.3039628707
184	0.3038757233
185	0.3038598031
186	0.3037633069
187	0.3037579737
188	0.303659505
189	0.3035762538
190	0.3034465925
191	0.303428275
192	0.3032767046
193	0.303258835
194	0.3031726157
195	0.3030020754
196	0.3029765617
197	0.3029164082
198	0.3027422408
199	0.3027207143
200	0.3024542277
201	0.3024175233
202	0.3023438485
203	0.302328817
204	0.3023093951
205	0.3022959138
206	0.302222403
207	0.3022137002
208	0.3022059807
209	0.3021965435
210	0.3021908813
211	0.3019821945
212	0.3019529147
213	0.3019467855
214	0.3019284508
215	0.3019138047
216	0.3019022435
217	0.3017662905
218	0.3015508472
219	0.3013506336
220	0.3011952518
221	0.3010632947
222	0.3008642785
223	0.3008413727
224	0.3008297696
225	0.3006898917
226	0.3006465848
227	0.3005636329
228	0.3004941345
229	0.3004786563
230	0.3004469396
231	0.3002934202
232	0.3002772753
233	0.3002472025
234	0.3002263672
235	0.3000464277
236	0.3000146108
237	0.2998379497
238	0.2998197907
239	0.2998112621
240	0.2997552044
241	0.2996641735
242	0.2995646201
243	0.2995537005
244	0.2995420955
245	0.2994035665
246	0.2993466773
247	0.2993432205
248	0.299339085
249	0.2993034502
250	0.2992679028
251	0.2992355568
252	0.2992237675
253	0.2991914775
254	0.2991877732
255	0.2991570444
256	0.2991408392
257	0.2990116162
258	0.2989797666
259	0.2989773282
260	0.2989689978
261	0.2989593228
262	0.2989370836
263	0.2989148013
264	0.2987702052
265	0.2986570602
266	0.2986303626
267	0.2985245723
268	0.2983742891
269	0.298372292
270	0.2983149163
271	0.2982037702
272	0.2980566823
273	0.2979365404
274	0.2977920092
275	0.2976940185
276	0.2976791427
277	0.2976263557
278	0.2975375029
279	0.2974489827
280	0.2973662508
281	0.2972870724
282	0.2972796405
283	0.2972720502
284	0.2972428062
285	0.2971403035
286	0.2971304473
287	0.2969846781
288	0.2969648514
289	0.296874603
290	0.2967604288
291	0.2967411461
292	0.2966080429
293	0.2965552994
294	0.2965439234
295	0.2964292156
296	0.2964009953
297	0.296298769
298	0.29628583
299	0.2962532664
300	0.2961994894
301	0.2961803084
302	0.2960606261
303	0.2960531434
304	0.2960404524
305	0.2959822052
306	0.2959622958
307	0.2959596479
308	0.2959471555
309	0.2957890132
310	0.2957086911
311	0.2955966495
312	0.2955930426
313	0.2954381483
314	0.2954287766
315	0.2953181908
316	0.2952437633
317	0.2952390617
318	0.2951566862
319	0.2950873253
320	0.2949368914
321	0.2949200463
322	0.2949085416
323	0.2948358637
324	0.2948266058
325	0.2947162057
326	0.2947028617
327	0.2945562112
328	0.294502387
329	0.2944647409
330	0.2943966475
331	0.2943713848
