iter	Passed	Remaining
0	0	95
1	0	89
2	0	81
3	0	75
4	1	75
5	1	74
6	1	75
7	1	75
8	1	75
9	2	74
10	2	73
11	2	73
12	2	73
13	3	73
14	3	73
15	3	71
16	3	71
17	3	71
18	4	70
19	4	70
20	4	70
21	4	70
22	4	70
23	5	70
24	5	70
25	5	69
26	5	69
27	5	69
28	6	69
29	6	69
30	6	69
31	6	69
32	7	69
33	7	69
34	7	68
35	7	68
36	7	68
37	8	67
38	8	67
39	8	67
40	8	67
41	8	66
42	9	66
43	9	65
44	9	65
45	9	65
46	10	65
47	10	65
48	10	64
49	10	64
50	10	63
51	10	63
52	11	63
53	11	62
54	11	62
55	11	62
56	11	62
57	12	62
58	12	62
59	12	62
60	12	61
61	13	61
62	13	61
63	13	61
64	13	61
65	13	61
66	14	60
67	14	60
68	14	60
69	14	60
70	15	60
71	15	60
72	15	59
73	15	59
74	15	59
75	16	59
76	16	59
77	16	59
78	16	59
79	17	59
80	17	58
81	17	58
82	17	58
83	18	58
84	18	57
85	18	57
86	18	57
87	18	57
88	19	56
89	19	56
90	19	56
91	19	56
92	20	56
93	20	56
94	20	55
95	20	55
96	20	55
97	21	55
98	21	55
99	21	54
100	21	54
101	22	54
102	22	54
103	22	53
104	22	53
105	22	53
106	23	53
107	23	53
108	23	53
109	23	52
110	24	52
111	24	52
112	24	52
113	24	51
114	24	51
115	25	51
116	25	51
117	25	51
118	25	50
119	26	50
120	26	50
121	26	50
122	26	50
123	26	49
124	27	49
125	27	49
126	27	49
127	27	49
128	27	48
129	28	48
130	28	48
131	28	48
132	28	47
133	29	47
134	29	47
135	29	47
136	29	47
137	29	46
138	30	46
139	30	46
140	30	46
141	30	45
142	31	45
143	31	45
144	31	45
145	31	45
146	32	45
147	32	44
148	32	44
149	32	44
150	32	44
151	33	44
152	33	43
153	33	43
154	33	43
155	33	43
156	34	42
157	34	42
158	34	42
159	34	42
160	35	42
161	35	41
162	35	41
163	35	41
164	35	41
165	36	40
166	36	40
167	36	40
168	36	40
169	36	39
170	37	39
171	37	39
172	37	39
173	37	38
174	37	38
175	38	38
176	38	38
177	38	38
178	38	37
179	38	37
180	39	37
181	39	37
182	39	36
183	39	36
184	40	36
185	40	36
186	40	36
187	40	35
188	40	35
189	41	35
190	41	35
191	41	34
192	41	34
193	41	34
194	42	34
195	42	34
196	42	33
197	42	33
198	42	33
199	43	33
200	43	32
201	43	32
202	43	32
203	43	32
204	44	32
205	44	31
206	44	31
207	44	31
208	44	31
209	45	30
210	45	30
211	45	30
212	45	30
213	45	30
214	46	29
215	46	29
216	46	29
217	46	29
218	46	28
219	47	28
220	47	28
221	47	28
222	47	28
223	48	27
224	48	27
225	48	27
226	48	27
227	48	27
228	49	26
229	49	26
230	49	26
231	49	26
232	50	26
233	50	25
234	50	25
235	50	25
236	50	25
237	51	24
238	51	24
239	51	24
240	51	24
241	52	24
242	52	23
243	52	23
244	52	23
245	52	23
246	53	23
247	53	22
248	53	22
249	53	22
250	53	22
251	54	21
252	54	21
253	54	21
254	54	21
255	54	21
256	55	20
257	55	20
258	55	20
259	55	20
260	56	20
261	56	19
262	56	19
263	56	19
264	57	19
265	57	18
266	57	18
267	57	18
268	58	18
269	58	18
270	58	17
271	58	17
272	59	17
273	59	17
274	59	17
275	59	16
276	59	16
277	60	16
278	60	16
279	60	16
280	60	15
281	61	15
282	61	15
283	61	15
284	61	14
285	61	14
286	62	14
287	62	14
288	62	14
289	62	13
290	62	13
291	63	13
292	63	13
293	63	12
294	63	12
295	64	12
296	64	12
297	64	12
298	64	11
299	65	11
300	65	11
301	65	11
302	65	11
303	66	10
304	66	10
305	66	10
306	66	10
307	67	10
308	67	9
309	67	9
310	67	9
311	67	9
312	68	8
313	68	8
314	68	8
315	68	8
316	69	8
317	69	7
318	69	7
319	69	7
320	70	7
321	70	6
322	70	6
323	70	6
324	71	6
325	71	6
326	71	5
327	71	5
328	71	5
329	72	5
330	72	5
331	72	4
332	72	4
333	73	4
334	73	4
335	73	3
336	74	3
337	74	3
338	74	3
339	74	3
340	74	2
341	75	2
342	75	2
343	75	2
344	75	1
345	76	1
346	76	1
347	76	1
348	76	1
349	76	0
350	77	0
351	77	0
352	77	0
353	77	0
